Abundances (Grouped): Total Proteins,Abundances (Grouped): No Wash,"Abundances (Normalized): F1: Sample, Total Proteins, Total1, 1","Abundances (Normalized): F2: Sample, Total Proteins, Total1, 2","Abundances (Normalized): F7: Sample, No Wash, MF1, 1","Abundances (Normalized): F8: Sample, No Wash, MF1, 2","Abundance: F1: Sample, Total Proteins, Total1, 1","Abundance: F2: Sample, Total Proteins, Total1, 2","Abundance: F7: Sample, No Wash, MF1, 1","Abundance: F8: Sample, No Wash, MF1, 2"
19.3,180.7,581485.1609,785413.5169,6305952.272,6353474.75,211754.9961,372460.2813,5939883.438,6353474.75
79,121,2955498.512,3764310.639,5318771.968,4908884,1076281.25,1785118.5,5010010.25,4908884
2.4,197.6,44191.50507,334643.09,10133385.63,9970029.25,16092.88184,158695.0781,9545129.25,9970029.25
33.5,166.5,165585.1594,216474.2675,922681.0369,957612.1875,60299.87891,102656.8359,869118.1875,957612.1875
131.5,68.5,4672026.235,3318695.664,1855925.547,2271857.25,1701376,1573798.125,1748186.625,2271857.25
28.3,171.7,6713045.292,8103585.776,45248649.84,44422707.44,2444638.273,3842897.75,42621906.13,44422707.44
92.6,107.4,13343305.59,14022839.98,15800142.19,15899720.13,4859129.369,6649937.656,14882923.13,15899720.13
31.8,168.2,415288.2164,413056.9368,2113166.306,2265170.938,151232.3281,195880.6406,1990494.219,2265170.938
,200,,,608359.2822,801749.3438,,,573043.2246,801749.3438
,200,,,514422.2318,571674.4375,,,484559.3438,571674.4375
5.2,194.8,,95849.76103,3248479.448,3958200.563,,45454.05469,3059900.938,3958200.563
,200,,,3298548.059,3321175.875,,,3107063,3321175.875
48.4,151.6,531684.1078,680092.4347,1802212.165,1973605.125,193619.3281,322514.7188,1697591.375,1973605.125
87.1,112.9,10625361.15,8385077.817,12067462.74,12408115.6,3869356.367,3976387.438,11366930.63,12408115.6
200,,4107616.209,2775455.503,,,1495839.125,1316181.75,,
19.8,180.2,1643283.603,1616969.595,14296983.67,15459367.88,598422,766802.375,13467024.94,15459367.88
57.2,142.8,1090114.003,912364.3736,2447841.219,2537717.313,396978.4648,432663.1563,2305740.813,2537717.313
184.7,15.3,3262852.508,2341304.043,253033.9211,206582.1094,1188208,1110297.625,238344.9688,206582.1094
9.7,190.3,53096.53349,69523.02423,,1198157.625,19335.75781,32969.33984,,1198157.625
,200,,,445784.6684,412897.9688,,,419906.2813,412897.9688
118.6,81.4,45131586.26,46857592.49,29327538.48,33905827.88,16435224,22220896,27625036.25,33905827.88
51.9,148.1,721850.0263,897324.0778,1970145.411,2678023.5,262870.5938,425530.7188,1855775.875,2678023.5
5.2,194.8,144780.8432,146297.5491,5163823.605,5834924.859,52723.73047,69377.5,4864056.844,5834924.859
33.6,166.4,5241364.351,3585157.624,23151389,19873191.03,1908707.5,1700160.219,21807420.38,19873191.03
,200,,,1663076.931,1760383.875,,,1566533.125,1760383.875
109.9,90.1,8982537.569,10453447.58,7414459.515,8526990.313,3271101.889,4957253.65,6984040.375,8526990.313
,200,,,671523.6445,454906.7813,,,632540.8125,454906.7813
11.9,188.1,,54947.76649,824424.689,912214.875,,26057.43359,776565.75,912214.875
200,,4473824.108,5949878.25,,,1629198.25,2821562.5,,
,200,,,3755680.977,2762469,,,3537658.75,2762469
3.8,196.2,37625.23174,60553.96497,2418700.765,2498386,13701.69238,28716.01563,2278292,2498386
9.2,190.8,59267.4056,82875.91774,1362032.831,1558134.406,21582.95703,39301.57422,1282965.031,1558134.406
71.4,128.6,11024072.68,10319793.84,19721973.62,18685124.91,4014552.09,4893872.125,18577087.08,18685124.91
,200,,,888442.4413,759483.375,,,836867.1875,759483.375
89.6,110.4,22767496.61,26624696.54,29687967.62,30960705,8291064.813,12626013.87,27964542,30960705
,200,,,3203687,3233190,,,3017708.75,3233190
27.8,172.2,324916.1434,472793.1395,1303878.289,4517168.5,118322.2227,224208.8555,1228186.438,4517168.5
80.2,119.8,147293724.9,156993152.2,228738383.6,225449494.3,53638827.33,74449589.1,215459819.2,225449494.3
159.3,40.7,2286429.977,2392337.643,583390.3932,611883.5625,832631.6875,1134498.875,549523.8125,611883.5625
32.6,167.4,883850.7502,828943.7725,4241299.523,4548759.375,321865.1563,393103.2813,3995086.5,4548759.375
11.1,188.9,213204.7507,300996.2616,4179523.533,4419157.766,77641.14063,142739.0156,3936896.688,4419157.766
182.4,17.6,1777143.89,2523899.211,211202.0576,197520.9844,647168.875,1196888.25,198941.5,197520.9844
151,49,6063159.244,6321597.701,2102815.921,1923937.875,2207974.25,2997840,1980744.688,1923937.875
72.9,127.1,9575467.119,8963145.952,15249924.81,17109940.06,3487024.5,4250520,14364646.59,17109940.06
42.8,157.2,1879302.312,1578837.525,7874261.766,5068296.875,684371.125,748719.3125,7417150.5,5068296.875
68.6,131.4,48523287.13,56563080.68,99105019.27,101740967.4,17670353.72,26823450.94,93351842.38,101740967.4
52.2,147.8,6812601.102,6411805.473,17872058.54,19584884,2480892.75,3040618.5,16834562,19584884
32.7,167.3,4432671.445,7393627.245,25148765.06,34050670.38,1614212,3506219.875,23688846.13,34050670.38
51.7,148.3,14840830.73,16435972.01,45616761.94,44059228.61,5404471.625,7794297.688,42968648.83,44059228.61
5.3,194.7,85688.3682,137632.6064,3758221.09,4217409.969,31204.47656,65268.39453,3540051.406,4217409.969
,200,,,615409.388,615353.0625,,,579684.0625,615353.0625
2.8,197.2,249177.6539,951849.7301,33969057.53,33942497,90741.11719,451387.9766,31997109,33942497
8,192,,669033.0186,16203656.74,16047203,,317270.1016,15263013.13,16047203
146.6,53.4,3279985.32,3472738.005,1139736.054,1326264,1194447.125,1646848.375,1073572.875,1326264
108.7,91.3,8839371.471,7552608.532,6372794.671,7380664.563,3218966.188,3581612.281,6002845.547,7380664.563
117,83,22594085.46,26181672.98,18029099.73,16514418.75,8227915,12415922.4,16982486.75,16514418.75
177.7,22.3,599942.1701,569806.1795,60690.45374,88537.20313,218476.3438,270214.5625,57167.29297,88537.20313
171.9,28.1,591763077.8,628494609.4,103688095.1,95746071.49,215497826.4,298045900.6,97668864.61,95746071.49
66.2,133.8,6941460.486,8324925.233,13832086.31,17087542.88,2527818.484,3947861.766,13029115.48,17087542.88
7.9,192.1,860229.0682,1354343.78,25695268.29,27137164.69,313263.0293,642259.4648,24203624.13,27137164.69
56.3,143.7,5816062.779,6620173.418,15290807.81,16423624.53,2117991.023,3139431.141,14403156.28,16423624.53
40.9,159.1,6923405.791,8954633.965,30873288.06,30377982.57,2521243.645,4246483.43,29081053.03,30377982.57
41.1,158.9,5340550.198,10393663.01,28084070.8,29584653.63,1944827.25,4928902.5,26453753.5,29584653.63
91,109,33817760.49,33718277.54,39492126.98,41350502.5,12315154.75,15989945.25,37199557,41350502.5
3,197,,49719.93453,3085079.026,3342235.875,,23578.28125,2905986.125,3342235.875
0.8,199.2,103845.0521,141382.7216,26821049.5,31477926,37816.45703,67046.78125,25264052.25,31477926
,200,,,229605.18,279461.7813,,,216276.2969,279461.7813
44.4,155.6,2131728.367,2325521.611,7142435.54,8500691.5,776295.1875,1102813.25,6727807.75,8500691.5
59.8,140.2,13569026.18,12620039.96,28170702.96,33433683.45,4941328.307,5984699.184,26535356.55,33433683.45
,,,,,,,,,
41.2,158.8,401008.2698,331819.2207,1398559.071,1414004.625,146032.1094,157355.9375,1317370.875,1414004.625
97.2,102.8,21852915.58,20742079.4,20563804.83,24679424,7958008.844,9836348.063,19370048.88,24679424
62.8,137.2,6087058.097,6394415.077,12551646.78,14829979.72,2216677.313,3032371.594,11823007.16,14829979.72
,200,,,10971648.65,13040522,,,10334730,13040522
13.4,186.6,529455.7918,,7618423.519,7167124.25,192807.8594,,7176164,7167124.25
47,153,4835916.741,4527092.806,16084304.38,14444488.03,1761058.75,2146846.5,15150589.33,14444488.03
38.4,161.6,855310.401,999211.6407,3977862.932,3815678.5,311471.8359,473848.0313,3746942.75,3815678.5
43.9,156.1,11956515.7,10324875.59,39768793.93,39287976.25,4354112.719,4896282,37460163.06,39287976.25
176.4,23.6,150425441.4,165734099.6,20291657.95,21970086.17,54779280.55,78594737.68,19113700.48,21970086.17
189.3,10.7,179187520.9,163328898.1,8186234.889,11431073.43,65253346.69,77454138.5,7711013.172,11431073.43
37.2,162.8,1420615.653,2662642.016,8971190.95,8059800.25,517334.7188,1262683.125,8450401.5,8059800.25
138.7,61.3,11307565.25,11645601.21,4816594.133,5332815.25,4117789.406,5522599,4536984.5,5332815.25
76.1,123.9,25044217.62,32261173.18,45299048.95,47343590.5,9120160.859,15298954.47,42669379.5,47343590.5
,200,,,15799513.57,17209143.25,,,14882331,17209143.25
,200,,,1334928.482,1634551.625,,,1257434.125,1634551.625
,200,,,128129.8155,200024,,,120691.7109,200024
11.4,188.6,198404.8179,186867.7254,2967430.2,3417518.75,72251.5625,88616.76563,2795166.969,3417518.75
66.9,133.1,2055814.078,1943081.704,3952728.07,3994556.25,748650.0625,921451.875,3723267,3994556.25
90.2,109.8,2047354.08,1754658.568,2034880.227,2615069.75,745569.25,832097.5,1916752.75,2615069.75
151.7,48.3,135433329.8,141606368.3,45612595.96,42585857.88,49319718.13,67152839.38,42964724.69,42585857.88
200,,2128753.217,2288647.258,,,775211.75,1085326.625,,
186.4,13.6,7221208.705,8146635.244,,559284.4375,2629692.25,3863312.75,,559284.4375
,,,,,,,,,
52.4,147.6,3988375.518,769456.2255,4637009.418,5259065.375,1452416.156,364892.9844,4367824.914,5259065.375
,200,,,778987.1354,959331.375,,,733765.9063,959331.375
99.3,100.7,2827922.425,2919757.414,2605451.915,3259282.906,1029822.844,1384612.875,2454202,3259282.906
,200,,,734710.9873,1059643.297,,,692060.0469,1059643.297
137,63,15271488.59,14918723.91,7875627.287,6128472.75,5561301,7074785.428,7418436.75,6128472.75
,200,,,259761.5136,220736.5156,,,244682.0156,220736.5156
178.5,21.5,2653479.362,3423064.66,318222.9156,412555.0313,966297.25,1623292.188,299749.6563,412555.0313
179.8,20.2,157228591.3,175104539.4,18802723.4,18546707.59,57256731.5,83038405.38,17711200.55,18546707.59
188.8,11.2,69863914.3,62239564.89,3579385.222,4270739.445,25441806.42,29515364,3371597.195,4270739.445
47.2,152.8,3239314.585,2442362.221,8461380.003,9772810.063,1179636.375,1158221.625,7970185.75,9772810.063
135.3,64.7,18128567.55,19131824.4,7790933.149,10176321.81,6601741.555,9072729.898,7338659.219,10176321.81
146.7,53.3,236727951.4,213014058.1,87061849.93,76576119.04,86207404.4,101015928.9,82007794.88,76576119.04
140,60,6027179.754,6424608.024,2850815.302,2496643,2194871.875,3046689.75,2685321.719,2496643
48.6,151.4,1727783.349,5179289.347,7848928.114,11072817.45,629193.625,2456132.375,7393287.5,11072817.45
87.7,112.3,1304986.419,1349944.015,1829680.752,1580782.375,475226.9063,640173,1723465.375,1580782.375
69.5,130.5,33369205.82,40758905.01,68900694.63,69613190.69,12151808.03,19328764.91,64900918.56,69613190.69
98.9,101.1,68408309.57,63576446.35,73241867.86,62125101.28,24911730,30149342.45,68990080.97,62125101.28
50.8,149.2,624193.6955,906733.06,2288068.051,2128493.875,227307.8359,429992.6641,2155242.688,2128493.875
88.3,111.7,2585054.006,,3040235.155,3522754.25,941379.3125,,2863745.5,3522754.25
126.9,73.1,4483527.884,4944078.515,2600751.553,2829085.75,1632732,2344590.25,2449774.5,2829085.75
165.8,34.2,80213361.03,79562306.88,16700685.81,16282294.75,29210685.15,37730187.42,15731189,16282294.75
65.9,134.1,138489.0172,,257585.6055,308147.25,50432.48438,,242632.4219,308147.25
147.6,52.4,10820467.5,9424206.492,3402645.556,3783394,3940406.75,4469165,3205117.5,3783394
,200,,,459624.6606,635278.3125,,,432942.8438,635278.3125
127.6,72.4,2776483.741,3975563.936,1910155.114,1859504.438,1011090.813,1885299.438,1799268.094,1859504.438
7.4,192.6,1143899.35,1357947.199,30806665.81,34394325.25,416565.0625,643968.2852,29018298.28,34394325.25
,,,,,,,,,
132.6,67.4,14708616.68,12811286.28,7490646.604,6494940.781,5356324.25,6075392.375,7055804.703,6494940.781
83.7,116.3,4184732.228,3928305.072,5604849.389,5670736.5,1523921.875,1862888.25,5279480.5,5670736.5
187.5,12.5,42195462.09,41628798.63,2513511.911,3114297.203,15365998.16,19741287.5,2367599.234,3114297.203
169.2,30.8,5998355.727,6232148.54,1137247.728,1092368,2184375.25,2955421.25,1071229,1092368
108,92,30265693.22,35133405.24,28969724.9,26675033.84,11021625.63,16661029.78,27287994.22,26675033.84
151,49,67350178.12,70470127.8,22214939.9,22466937.74,24526398.38,33418477.09,20925333.38,22466937.74
93.6,106.4,24211971.13,27196165.05,28234479.04,30169433.19,8817088.031,12897016.75,26595430.34,30169433.19
14.5,185.5,91812.39693,118063.0242,1379237.358,1291104.5,33434.61719,55988.07031,1299170.813,1291104.5
43.7,156.3,1923888.711,2580211.359,7801092.175,8133496.75,700607.8125,1223592.703,7348228.5,8133496.75
46.2,153.8,430406.2594,772332.4174,2032281.492,1813622.625,156737.75,366256.9375,1914304.875,1813622.625
81.4,118.6,16525687.31,18125021.26,23489491.08,27032641.19,6018032.938,8595281.813,22125895.19,27032641.19
,200,,,518590.7843,719598.4375,,,488485.9063,719598.4375
155.3,44.7,9886696.79,11648167.52,3141833.61,3036353.406,3600362.625,5523816,2959446.031,3036353.406
162.4,37.6,6244503.504,5715498.516,1273236.294,1502078.875,2274013,2710414.5,1199323.25,1502078.875
178.8,21.2,124106208.5,137944071,14395191.42,16804002.92,45194807.13,65416097.88,13559531.6,16804002.92
,200,,,1098849.936,1104218,,,1035060.25,1104218
17.6,182.4,324916.9479,468609.8146,2685331.267,6101876.25,118322.5156,222225.0313,2529444.25,6101876.25
146.2,53.8,,7801680.69,2873262.617,2873615.75,,3699727.75,2706465.938,2873615.75
50.8,149.2,24419691.86,20858285.2,68299510.11,64236765.56,8892732.098,9891455.398,64334633.59,64236765.56
94.7,105.3,4410413.514,4984287.54,5092983.394,5339305.5,1606106.5,2363658.25,4797329,5339305.5
,200,,,226991.6485,258607.8438,,,213814.4844,258607.8438
152,48,23892945.57,25902213.42,8484362.632,7268904.375,8700910.938,12283396.56,7991834.207,7268904.375
,,,,,,,,,
18.8,181.2,,226815.2205,2253194.851,2113748.109,,107560.7422,2122393.922,2113748.109
,200,,,3315248.014,4032829.25,,,3122793.5,4032829.25
96.2,103.8,185909970,188686796.1,199856084,203980415.7,67701409.45,89479408.76,188254175.1,203980415.7
95,105,4268352.934,3836624.007,3869364.884,5163269.047,1554373.387,1819411.082,3644743.156,5163269.047
,200,,,501064.1196,428293.9688,,,471976.6875,428293.9688
82.6,117.4,25148451.4,21050276.43,32767000.74,32638728.14,9158118.875,9982501.842,30864833.2,32638728.14
59.7,140.3,,902248.5921,1962111.136,2287531.5,,427866.0313,1848208,2287531.5
197.9,2.1,18608597.99,17218945.09,222074.3491,163702.4375,6776550.563,8165600.656,209182.6406,163702.4375
132.6,67.4,1541639.031,1941934.693,912773.0529,846059.0625,561406.875,920907.9375,859785.375,846059.0625
35.3,164.7,74984.80135,113637.4193,409979.7388,453719.625,27306.64063,53889.35156,386179.875,453719.625
45.3,154.7,158466.8111,111609.3272,508714.0851,405527.875,57707.64453,52927.58594,479182.5625,405527.875
,200,,,166077.3362,191732.8281,,,156436.3281,191732.8281
48,152,1424691.531,1363713.561,4469519.559,4353341.125,518819,646702.8203,4210058.063,4353341.125
58.6,141.4,1372098.486,1349327.347,3208513.165,3353995.25,499666.5938,639880.5625,3022254.75,3353995.25
,200,,,2841743.715,2164533.25,,,2676776.75,2164533.25
111.3,88.7,9118709.974,7329889.695,6289045.831,6761350.5,3320690.75,3475994.134,5923958.438,6761350.5
136.1,63.9,4743313.466,5334832.831,2162040.286,2574984.5,1727336.125,2529894.5,2036531,2574984.5
86.8,113.2,224806635.7,215267869.3,274823483.9,299409035.3,81866110.22,102084735.5,258869618.7,299409035.3
40.6,159.4,6168405.938,5107410.609,22416694.38,21604245.22,2246301.132,2422045.904,21115375.75,21604245.22
129.2,70.8,59909364.06,55411597.95,30773169.79,32334008.84,21816734.13,26277392.63,28986746.75,32334008.84
28.4,171.6,,3195835.192,19110816.24,19444856.56,,1515535,18001408.19,19444856.56
25.1,174.9,22917517.15,26159843.89,168367645.6,172721670.4,8345696.641,12405570.57,158593682,172721670.4
152.4,47.6,10142819.34,1353052.66,1198633.006,1119326.578,3693632.813,641647.1875,1129050.781,1119326.578
178,22,6201877.597,12873036.65,1434777.638,849669.625,2258490.25,6104675.75,1351486.906,849669.625
41.9,158.1,3934551.711,9339378,23556573.09,22156309.5,1432815.553,4428937.473,22189083,22156309.5
33.5,166.5,2029949.004,3909185.001,14320435.48,13656782.27,739230.9766,1853821.094,13489115.34,13656782.27
34.1,165.9,340111,1879448.122,3912853.9,3854693.297,123855.6172,891275.4375,3685707.578,3854693.297
89.6,110.4,5000129.347,4172589.807,5489312.309,5758837.125,1820858.797,1978733.418,5170650.5,5758837.125
155.7,44.3,1510157.021,1949992.762,490410.4407,485429.4688,549942.3125,924729.25,461941.4688,485429.4688
74.7,125.3,5758758.944,3640565.296,8339260.824,7078379.5,2097123.125,1726435.75,7855155.75,7078379.5
107.6,92.4,1315956.029,1983863.114,1423404.241,1354502.875,479221.625,940791.3125,1340773.75,1354502.875
162.3,37.7,5742733.124,4747216.555,1129753.806,1299283.375,2091287.125,2251234,1064170.109,1299283.375
,200,,,751456.8074,809364.6875,,,707833.75,809364.6875
3.2,196.8,85761.59919,86157.6176,5064277.61,5589438.875,31231.14453,40857.82813,4770289.625,5589438.875
43.8,156.2,4485667.791,4480075.63,15625793.52,16396907.63,1633511.273,2124549.926,14718695.63,16396907.63
120.3,79.7,930773873.7,957213284.1,626881681.2,622933425.9,338952790.7,453931491.3,590490374,622933425.9
159.2,40.8,6763482.384,6957859.454,1768702.543,1750228,2463005.563,3299569.25,1666027.031,1750228
,200,,,142052.8719,161705.6875,,,133806.5156,161705.6875
174.9,25.1,1203829.063,1650208.271,181091.7058,225903.7344,438389.207,782564.8828,170579.0938,225903.7344
74.4,125.6,31125100.97,30217832.96,55433516.72,48443255.25,11334589.56,14329957.81,52215528.06,48443255.25
30.5,169.5,39237718.07,37770357.14,209450710.7,218806589.4,14288899.18,17911530.09,197291821.1,218806589.4
54.9,145.1,1083434.558,755116.4522,2269949.031,2520735.25,394546.0625,358092.75,2138175.5,2520735.25
2.7,197.3,25001.49404,35410.42051,2034624.375,2317483.5,9104.602539,16792.39648,1916511.75,2317483.5
61.7,138.3,3449662.308,2996227.617,7233607.97,7176202.25,1256237.094,1420876.719,6813687.5,7176202.25
11.1,188.9,1059817.558,1351677.974,19893540.41,20680157.06,385945.6406,640995.2813,18738694.19,20680157.06
75,125,14340627.86,15028684.19,22338211.07,26787989,5222316.578,7126931,21041448.5,26787989
,200,,,6448711.99,6767484.844,,,6074355.766,6767484.844
119.3,80.7,13526003.57,10766063.84,6812941.297,9763467.049,4925661.094,5105503.125,6417441.082,9763467.049
,200,,,2608454.202,3080902.25,,,2457030,3080902.25
91.9,108.1,28222007.49,27761381.21,33140861.47,32704893.53,10277392.25,13165054.63,31216990.81,32704893.53
140.8,59.2,5121618.305,6110808.19,,2354137.25,1865100.5,2897879,,2354137.25
172.7,27.3,75229514.15,77870874.29,11903410.69,12277979.46,27395755.81,36928073.06,11212402.02,12277979.46
168,32,11116665.58,13904298.49,2273349.847,2461880.25,4048270.938,6593722.688,2141378.895,2461880.25
,200,,,,2301439,,,,2301439
43.8,156.2,1999349.305,1762351.763,6530503.849,6842925.25,728087.7188,835745.7813,6151399.5,6842925.25
67.3,132.7,4943476.858,4495584.547,9583292.767,9026178.891,1800228.094,2131904.594,9026970,9026178.891
155,45,28923953.02,21317345.57,6649527.352,7826860.188,10533014.38,10109151.88,6263513.531,7826860.188
164.3,35.7,3938944.524,,847347.7796,861856,1434415.25,,798158.125,861856
191.1,8.9,100996609.3,98096617.33,5992905.063,3555626.203,36779161.44,46519563.13,5645009.031,3555626.203
192.4,7.6,29217754.94,36544608.35,1392121.386,1186422.203,10640005.97,17330253.19,1311306.906,1186422.203
165.6,34.4,32930462.88,29673886.25,5660605.229,7450788.234,11992034.38,14072006.38,5331999.641,7450788.234
89.3,110.7,67167384.75,64524824.8,81169277.11,82057251.73,24459831.91,30599084.27,76457293.67,82057251.73
42,158,3730078.648,3930530.873,13689652.66,15169937.7,1358354.164,1863943.773,12894950.3,15169937.7
4.4,195.6,113895.8688,219410.1624,6492920.957,7522275.844,41476.58594,104049.1016,6115998.344,7522275.844
38,162,623852.4559,356449.6673,2021069.198,1999134.875,227183.5693,169036.2344,1903743.469,1999134.875
196.5,3.5,4574503.794,3282264.406,73589.07557,66377.33594,1665862,1556521.625,69317.13281,66377.33594
85.4,114.6,699038.4387,1165975.875,1140847.414,1287567.375,254563.4727,552931.2813,1074619.719,1287567.375
,200,,,1453551.849,1509170,,,1369171.25,1509170
,200,,,1729467.773,3911512.875,,,1629069.891,3911512.875
112.1,87.9,214195308.7,205464652.3,158132877.2,171314749.8,78001864.54,97435835.43,148953055.4,171314749.8
55.8,144.2,4182003.706,3616505.093,9838817.037,10240898.5,1522928.25,1715025.875,9267660.75,10240898.5
,200,,,157113.5053,154797.75,,,147992.8594,154797.75
144.5,55.5,86598341.01,86268585.28,33688841.61,32656125.17,31535854.39,40910451.43,31733159.98,32656125.17
,200,,,493214.999,528710.3125,,,464583.2188,528710.3125
,200,,,134707.9837,125999.3516,,,126888.0078,125999.3516
117.4,82.6,713299.8388,1042454.056,642269.2642,572950.75,259756.9375,494354.5313,604984.6875,572950.75
107.9,92.1,2612107.617,2593777.167,2135363.69,2308141.219,951231.2188,1230025.906,2011403.016,2308141.219
51.2,148.8,4724066.47,4487790.793,13297373.18,13497267.91,1720327.094,2128208.625,12525443.16,13497267.91
6.7,193.3,292510.7704,293482.341,7556823.195,9344765.031,106521.4063,139175.75,7118139.656,9344765.031
,200,,,1409673.663,1534522.25,,,1327840.25,1534522.25
164.3,35.7,14829438.74,15493437.43,2981719.684,3632533.82,5400323.094,7347327.156,2808626.93,3632533.82
59.7,140.3,299727.0318,377462.5431,723860.4924,864048.1875,109149.2969,179001,681839.4375,864048.1875
161.7,38.3,1585983.609,2241471.03,446073.6637,446675.5938,577555.5,1062954.625,420178.5,446675.5938
,200,,,346380.4922,320150.1328,,,326272.6484,320150.1328
75.5,124.5,463098.839,756050.4823,909819.5016,1047093.594,168643.1563,358535.6875,857003.2813,1047093.594
25.5,174.5,681290.4195,,4668527.946,4658426.375,248100.3125,,4397513.75,4658426.375
46.5,153.5,19941706.56,13590033.81,62080490.75,47583220.5,7262018.5,6444691.5,58476636.5,47583220.5
1.2,198.8,40500.34189,,6632299.735,6882415,14748.69922,,6247286,6882415
18.3,181.7,1084147.152,867503.1219,9135632.432,10197009.38,394805.5625,411388.9688,8605296.938,10197009.38
96.6,103.4,2981988.071,2185714.826,2446770.5,3051999.75,1085927.75,1036513.813,2304732.25,3051999.75
122.8,77.2,5802721.309,5346051.472,3528172.033,3472136.25,2113132.563,2535214.625,3323357,3472136.25
98.6,101.4,111148939.5,116496406.9,122221322.4,111823736.7,40476257.75,55245146.09,115126213.6,111823736.7
44.2,155.8,844191.3258,,2651013.58,3335423,307422.6875,,2497118.75,3335423
44.3,155.7,964455.1612,540599.8015,2297017.384,2807561.383,351218.2471,256364.2588,2163672.5,2807561.383
103.6,96.4,4351640.962,3871092.667,3645153.824,3995897.344,1584703.75,1835756.875,3433547.844,3995897.344
