"Abundance: F1: Sample, Total Proteins, Total1, 1","Abundance: F2: Sample, Total Proteins, Total1, 2","Abundance: F7: Sample, No Wash, MF1, 1","Abundance: F8: Sample, No Wash, MF1, 2"
7958008.844,9836348.063,19370048.88,24679424
2216677.313,3032371.594,11823007.16,14829979.72
,,10334730,13040522
192807.8594,,7176164,7167124.25
1761058.75,2146846.5,15150589.33,14444488.03
311471.8359,473848.0313,3746942.75,3815678.5
4354112.719,4896282,37460163.06,39287976.25
54779280.55,78594737.68,19113700.48,21970086.17
65253346.69,77454138.5,7711013.172,11431073.43
517334.7188,1262683.125,8450401.5,8059800.25
4117789.406,5522599,4536984.5,5332815.25
9120160.859,15298954.47,42669379.5,47343590.5
,,14882331,17209143.25
,,1257434.125,1634551.625
,,120691.7109,200024
72251.5625,88616.76563,2795166.969,3417518.75
748650.0625,921451.875,3723267,3994556.25
745569.25,832097.5,1916752.75,2615069.75
49319718.13,67152839.38,42964724.69,42585857.88
775211.75,1085326.625,,
2629692.25,3863312.75,,559284.4375
,,,
1452416.156,364892.9844,4367824.914,5259065.375
,,733765.9063,959331.375
1029822.844,1384612.875,2454202,3259282.906
,,692060.0469,1059643.297
5561301,7074785.428,7418436.75,6128472.75
,,244682.0156,220736.5156
966297.25,1623292.188,299749.6563,412555.0313
57256731.5,83038405.38,17711200.55,18546707.59
25441806.42,29515364,3371597.195,4270739.445
1179636.375,1158221.625,7970185.75,9772810.063
6601741.555,9072729.898,7338659.219,10176321.81
86207404.4,101015928.9,82007794.88,76576119.04
2194871.875,3046689.75,2685321.719,2496643
629193.625,2456132.375,7393287.5,11072817.45
475226.9063,640173,1723465.375,1580782.375
12151808.03,19328764.91,64900918.56,69613190.69
24911730,30149342.45,68990080.97,62125101.28
227307.8359,429992.6641,2155242.688,2128493.875
941379.3125,,2863745.5,3522754.25
1632732,2344590.25,2449774.5,2829085.75
29210685.15,37730187.42,15731189,16282294.75
50432.48438,,242632.4219,308147.25
3940406.75,4469165,3205117.5,3783394
,,432942.8438,635278.3125
1011090.813,1885299.438,1799268.094,1859504.438
416565.0625,643968.2852,29018298.28,34394325.25
,,,
5356324.25,6075392.375,7055804.703,6494940.781
1523921.875,1862888.25,5279480.5,5670736.5
15365998.16,19741287.5,2367599.234,3114297.203
2184375.25,2955421.25,1071229,1092368
11021625.63,16661029.78,27287994.22,26675033.84
24526398.38,33418477.09,20925333.38,22466937.74
8817088.031,12897016.75,26595430.34,30169433.19
33434.61719,55988.07031,1299170.813,1291104.5
700607.8125,1223592.703,7348228.5,8133496.75
156737.75,366256.9375,1914304.875,1813622.625
6018032.938,8595281.813,22125895.19,27032641.19
,,488485.9063,719598.4375
3600362.625,5523816,2959446.031,3036353.406
2274013,2710414.5,1199323.25,1502078.875
45194807.13,65416097.88,13559531.6,16804002.92
,,1035060.25,1104218
118322.5156,222225.0313,2529444.25,6101876.25
,3699727.75,2706465.938,2873615.75
8892732.098,9891455.398,64334633.59,64236765.56
1606106.5,2363658.25,4797329,5339305.5
,,213814.4844,258607.8438
8700910.938,12283396.56,7991834.207,7268904.375
,,,
,107560.7422,2122393.922,2113748.109
,,3122793.5,4032829.25
67701409.45,89479408.76,188254175.1,203980415.7
1554373.387,1819411.082,3644743.156,5163269.047
,,471976.6875,428293.9688
9158118.875,9982501.842,30864833.2,32638728.14
,427866.0313,1848208,2287531.5
6776550.563,8165600.656,209182.6406,163702.4375
561406.875,920907.9375,859785.375,846059.0625
27306.64063,53889.35156,386179.875,453719.625
57707.64453,52927.58594,479182.5625,405527.875
,,156436.3281,191732.8281
518819,646702.8203,4210058.063,4353341.125
499666.5938,639880.5625,3022254.75,3353995.25
,,2676776.75,2164533.25
3320690.75,3475994.134,5923958.438,6761350.5
1727336.125,2529894.5,2036531,2574984.5
81866110.22,102084735.5,258869618.7,299409035.3
2246301.132,2422045.904,21115375.75,21604245.22
21816734.13,26277392.63,28986746.75,32334008.84
,1515535,18001408.19,19444856.56
8345696.641,12405570.57,158593682,172721670.4
3693632.813,641647.1875,1129050.781,1119326.578
2258490.25,6104675.75,1351486.906,849669.625
1432815.553,4428937.473,22189083,22156309.5
739230.9766,1853821.094,13489115.34,13656782.27
123855.6172,891275.4375,3685707.578,3854693.297
1820858.797,1978733.418,5170650.5,5758837.125
549942.3125,924729.25,461941.4688,485429.4688
2097123.125,1726435.75,7855155.75,7078379.5
479221.625,940791.3125,1340773.75,1354502.875
2091287.125,2251234,1064170.109,1299283.375
,,707833.75,809364.6875
31231.14453,40857.82813,4770289.625,5589438.875
1633511.273,2124549.926,14718695.63,16396907.63
338952790.7,453931491.3,590490374,622933425.9
2463005.563,3299569.25,1666027.031,1750228
,,133806.5156,161705.6875
438389.207,782564.8828,170579.0938,225903.7344
11334589.56,14329957.81,52215528.06,48443255.25
14288899.18,17911530.09,197291821.1,218806589.4
394546.0625,358092.75,2138175.5,2520735.25
9104.602539,16792.39648,1916511.75,2317483.5
1256237.094,1420876.719,6813687.5,7176202.25
385945.6406,640995.2813,18738694.19,20680157.06
5222316.578,7126931,21041448.5,26787989
,,6074355.766,6767484.844
4925661.094,5105503.125,6417441.082,9763467.049
,,2457030,3080902.25
10277392.25,13165054.63,31216990.81,32704893.53
1865100.5,2897879,,2354137.25
27395755.81,36928073.06,11212402.02,12277979.46
4048270.938,6593722.688,2141378.895,2461880.25
,,,2301439
728087.7188,835745.7813,6151399.5,6842925.25
1800228.094,2131904.594,9026970,9026178.891
10533014.38,10109151.88,6263513.531,7826860.188
1434415.25,,798158.125,861856
36779161.44,46519563.13,5645009.031,3555626.203
10640005.97,17330253.19,1311306.906,1186422.203
11992034.38,14072006.38,5331999.641,7450788.234
24459831.91,30599084.27,76457293.67,82057251.73
1358354.164,1863943.773,12894950.3,15169937.7
41476.58594,104049.1016,6115998.344,7522275.844
227183.5693,169036.2344,1903743.469,1999134.875
1665862,1556521.625,69317.13281,66377.33594
254563.4727,552931.2813,1074619.719,1287567.375
,,1369171.25,1509170
,,1629069.891,3911512.875
78001864.54,97435835.43,148953055.4,171314749.8
1522928.25,1715025.875,9267660.75,10240898.5
,,147992.8594,154797.75
31535854.39,40910451.43,31733159.98,32656125.17
,,464583.2188,528710.3125
,,126888.0078,125999.3516
259756.9375,494354.5313,604984.6875,572950.75
951231.2188,1230025.906,2011403.016,2308141.219
1720327.094,2128208.625,12525443.16,13497267.91
106521.4063,139175.75,7118139.656,9344765.031
,,1327840.25,1534522.25
5400323.094,7347327.156,2808626.93,3632533.82
109149.2969,179001,681839.4375,864048.1875
577555.5,1062954.625,420178.5,446675.5938
,,326272.6484,320150.1328
168643.1563,358535.6875,857003.2813,1047093.594
248100.3125,,4397513.75,4658426.375
7262018.5,6444691.5,58476636.5,47583220.5
14748.69922,,6247286,6882415
394805.5625,411388.9688,8605296.938,10197009.38
1085927.75,1036513.813,2304732.25,3051999.75
2113132.563,2535214.625,3323357,3472136.25
40476257.75,55245146.09,115126213.6,111823736.7
307422.6875,,2497118.75,3335423
351218.2471,256364.2588,2163672.5,2807561.383
1584703.75,1835756.875,3433547.844,3995897.344
266146.3828,332574.2617,4170048.375,4875058.469
,,486589.0938,516450.5
5206737.25,5732426.75,12762108,8324916.25
5666751.416,6914537.226,25213827.94,27171537.34
57177963.25,79372961.95,7709382.5,9293495.469
48980185.09,58292032.34,91833435,110197647.4
2524396.453,3150964.984,7486121.867,9544792.195
,,359652.375,566946.0625
373026.625,934437.875,90037.96875,89761.75
,,,
230645.3594,430414.3594,6656179.563,7352649.938
16125075.69,19326579.5,55444066.25,56055969.81
,,3468880.75,3840313.25
10031776.06,12255674.13,17999498.29,21714536.65
,,,
54483171.18,82038929.27,168565038.9,177039874.7
11628808.94,14060910.02,32819365.75,38932031
4961000.984,5533656.078,1628611.094,1737759.852
2350915.75,2894210.75,861780,
1442536,,2749190.75,3457962.063
3226349.25,3681226.75,,1108982.75
460484.4375,752760.4375,3828499.75,4222424.609
3482393.375,3550368.5,833868.125,554010.0078
3185621.25,3263547.25,,
30481.48633,29299.84961,617523.9375,832024.1875
,,,
1799128.125,2220624,,
3285192.547,5412383.609,2254029.75,2691455.313
13159577.94,17528658.72,2820209.375,4958064.412
1396628.313,1971705.25,369050.0938,372014.5938
1645366.438,2351256.25,220385.0938,235486.5137
15504596,18067445.81,2180344.328,3174675.031
8271589.875,10959777.38,1289018.875,2216918.875
568627.625,465785.6875,,64274.10938
67734.64844,110787.3516,,1698370.5
178210.1563,,620122.5,688298.8125
4242924.219,6179182.688,14305500.88,15533646.06
1080864,969740.1875,12511959.13,11178166.44
842778.5156,1668925.406,4489388.688,4664711.203
91286.08496,177464.4824,13094235.81,14641857.88
,,200441.2969,257843.7188
98419085.29,152468527,379529807.1,409878817.8
,,634295.5,623667.125
3348514.625,4505081,5676314.234,3782444.688
782031.125,1076634.375,2109660.25,2427152.5
418474.0313,535796.4375,3730597.25,3774124.75
2155342.375,2417403.688,7094390,7533183.875
40031.60938,57616.94922,574436.625,640188.0625
820914.5,1010372,52696923.75,47955695.25
128133.3906,154594.5156,150341.6563,177123.4453
397911.125,,4874917.875,5391362.375
418217.1758,782405.7578,6639310.102,7325015.031
12106440.13,19960788.63,5168056.5,5755048.688
86089768.3,115916774.2,179817198.3,201005454.2
679521.5625,1275521,3335689.75,3384826
4715484.107,5822398.273,22653941.19,23309106.75
16296237.75,18686717.13,12192505.1,12076085.8
4659765.188,5336846.125,5644703.281,7105710.375
2584220.813,3311806,4462881.75,5643329.813
2195993,2241909.5,4463941,4348372
,,289970.2188,294332.875
665046,796499.3125,2438791.75,2173284
28969370.36,39496448.44,9735711.328,9132617
3225026,4995151.5,7399197.5,7727715.5
2684742.047,3199038.672,11464851.6,10637649.07
,,8684719,14919384
9326043.986,17405059.5,48599507.5,45882978.75
97273782.22,136267250.6,132950136,146088214.8
18758670.44,26626972.31,22130246.95,24268644.09
41140.64453,149532.8438,6374840.938,7989961.625
1079523.375,1470345.125,14498603.41,14808912.34
35464.64844,172169.0078,2389835.063,2822513.25
4736585.563,5416548.703,31652035.59,35935328.19
916300.75,844869.0625,2886698.25,3081424
373631.2266,306260.8125,1639280.813,1888772.5
154087.4688,302292.6563,1708014.93,2201664.438
7956898.629,8791783.967,39116068.66,47985340.25
22568.81641,19446.13281,264952.5938,352390.375
3186668.25,3789455.313,1577829.5,1616298.539
1170794.248,1285288.125,1415077.406,1298074.125
,372853.7813,2686721.063,2491058.688
2417769.313,2160866.25,21170824.5,22518014.25
,,3932551.406,3947582.219
,56811.42969,1558733.125,1936532.375
1470177.125,2549515.75,8175502,7994070.625
376703.4063,790821.4375,845125.3125,851734.5625
707356.875,972352.1875,1437331,1429753.875
,,906148.25,1067418.125
,,978761.5,1010717.063
7973679.031,8849169.945,20673361.56,16372626.75
158270.9375,1629867.508,21462438.5,24014422.5
,,6290808,7141567
5559158.25,7278664.5,20612303.25,15140274
,,2358404,2352712.25
159903052.1,217637539.8,124789415.7,129464510.2
3948438.063,6189600.063,1570773.766,1332572.344
7176362.75,8452643.5,10973610.13,12219598.5
1386543,1648749.75,211108.375,204375.0313
3468671.125,4400333.125,4692056.938,4476978.625
3190283.75,4314747.688,13913697.25,18198076.88
6761028.137,6911055.785,20908653,23505191.81
3397030.305,3714890.055,16941932.1,19925500.07
5248344.5,5845795.5,7493753,7175343
1586867.5,2111726.75,1951155.75,1939577.125
,,1750690.25,1646088.125
,,457354.7188,570771.0625
2594371.938,1181815.25,14609089.25,17424118
1593749.254,2746406.25,3033510.313,2741306.438
9890694.75,14176581.16,23691145.56,28619649.31
15164662.53,18327208.27,45531846.69,49459205.7
86830.04688,19154.31445,1053718.375,997434.125
5962326.945,12180689.81,5985466.25,7402989.75
2374502.5,2526006.75,526975.875,731083.9375
14025775.5,17153027,,254049.1719
316204351.2,379408434,54444041.19,56968292.44
8321728.688,11538754.19,2313711.063,1363288.563
93360623.28,121305212.3,539238486,626643979.1
5342937.75,8357381.234,9748507.25,12333724
169345521.7,237390874.1,178066118,200438632.4
9809010.047,11480033.3,19024729.05,22318925.71
8042017.781,14022297.5,28798124.14,36097007.61
3855496.25,5252532,3615372.75,3520447.5
22159062.43,32440735.69,61934337.31,73056717.72
229030474.3,320629866.2,333910547.9,389111642.7
394202.5,824427.6875,9811519.125,10180442
46119.57031,74276.08594,203250.2188,319822.875
214540.5938,205487.4531,1159721.875,1114371.875
523749.625,430107.6875,400750.375,410610.0703
1038028.988,857829.0703,4521575.281,5340590.969
13865011.56,13694530.72,5613256.75,7003593.75
9669251.375,12399847.13,,661426.9844
36307394.4,44594278.88,411822275.7,445780082.4
3115648.5,7131208.719,10720122.18,11859957.03
38600356.95,45389566.39,431998533.4,448499771.4
4953733.811,5868310.791,91512597.5,98296267.63
23108256.87,26200442.27,377462790.3,398134661.1
21800958.15,23528620.41,195260865.9,187741185
40229448.04,53149663.38,620254415,742487568
15560216.75,22958075.82,328721783.2,332095407.4
21039581.49,26915168.28,180053350.9,187125774.6
28667666.03,31908927.06,284223178.1,297115321.2
12997166.1,18664283.59,223783749.7,215746841.3
4934392.797,9024469.297,5419580.25,5856407.5
29485454.06,30662880.09,240454373.3,300834431.4
33879092.15,41337927.75,289969968.1,298823304.1
29927921.63,37680420.15,260826578.8,293801149.6
40969030.79,52926769.32,312140904.8,341736906.3
40000992.01,56793123.2,452971262.6,477304447.9
32753548.73,39606700.24,258911610.6,273594020
5241870.625,5569023.125,2622669.156,2818602.406
2312575.75,4005002.75,110054.2891,122188.9531
,,,
62499.12109,35253.58203,606518.5,742819.125
,,,
1193121.625,1360374.125,10394134.13,11501147.5
2894492,3233450.75,842391.125,
,,992585,1159221
1152196.156,1560502.188,21323.44922,77587.52344
2259028.5,3423722.25,1481813,1209830.25
147254.875,370884.625,659179.375,818914.3125
900323.3125,1412353.25,271239.8125,330793.1875
2916019.969,5385495.875,5236294.164,5072834.797
2729123.563,3670220.75,1379036.938,1313870
2698915.375,4439877.375,569208.8828,417267.7188
2897721.75,2879920.625,1191407.908,1373028.889
54729788.75,76709459.25,10659616.01,11402937.26
28793.75586,28989.92188,658083.25,704021.25
2483295.5,2528673,,
18378274.59,22467758.22,34969671.51,36834189.2
515223.4063,766162.0625,,
8929808.969,11060304.06,1630557.938,2348846.875
2051163.289,3954496.466,27676501.41,34751850.69
3438461.531,6275177.719,2053044.754,1996374.93
1360389.719,2375089.313,596494.4688,769577.5938
3898100.938,4596744.156,1495897.383,1699469.289
1828776.75,2618162,,
1372781,2267783,797289.9375,723656.5625
6417435.766,7053004.719,3769712.441,3947842.914
4555294,4942145,824644.25,928986
2404347.5,3449653.5,698988.5,
7532838.75,7630452.5,1060610.5,3140500.094
1240291.75,1857798.625,,375956.9375
287145.8438,435207.4375,184326.375,231266.375
2691079.25,3502604.25,,
2400958.625,3398790.25,829762.6875,1490157.688
5006615.344,6887009.688,3449242.906,3572002.953
1320355.977,4072536.813,2972326.156,4155993.563
678121.25,587106,703129.4375,884818.5625
1709849.375,2432352.25,242862.375,213289.5625
1173834,1647969.125,10743591.77,11363899.43
1475580.719,1405147.5,2578926.5,2979389.625
261740.9531,314949.0938,616746.8125,711395.6875
93513.66797,121304.1211,583503.4688,794901.2188
9531.672852,14075.75977,1711115.5,1925120.875
334269.2813,479469.3438,183093.0938,224318.5781
47848.90234,82656.83594,1790595.625,1864560
3328895.75,4159761.875,708602.9023,684666.5117
92868172.63,132501808.7,19028470.41,19673961.18
,,687037.6406,667712.9219
4457241.5,7214196,335638.8047,384328.5078
1244553.438,3326412.922,2831694.781,603108.5625
6019538.539,8864579.117,11912118.06,14757503.16
20410.90039,,451765.2813,494352.3125
2801561.938,2808703.75,730230.5,591313.25
95644527.74,138755607.9,852034077.6,826473228.9
96775626.87,128739535.3,1095008548,1021101805
126571494.7,161455753.4,806694679.6,856881285.4
139437766.8,199430875.9,1737530106,1817038243
105223982.3,132906596.3,766447125.5,779869352.4
20951632.67,37336665.51,40168341.58,42265475.99
,,902452.625,920071.875
136020533.7,184819205.2,1309809898,1282599729
218106925.2,306442184.1,2165540711,2270814018
125907532.3,150478448.6,1499460171,1591665025
146885946.9,181770292.9,1668601830,1744676188
143383705.1,194433665,1164330915,1191617805
77112914.25,119578403.9,795904265.9,820079117.9
54518963.17,74575369.77,135031018.8,124123733.6
80775912.37,96756877.61,339037165.3,355297069.9
32034316.78,53282279.64,398401313.8,372862787.8
119957630.6,165875889.5,1368183136,1352874517
48687483.66,67813775.64,568878840,636301414
43220954.7,34732935.49,130147832.7,147621365
,,9696856,11450884
34938771.61,41527852.93,518857409.8,531657063.3
90153257.04,95299201.85,224009274.1,235174375.4
1574339.063,1956607.359,3310961.906,2890654.764
,,2925946,3830405.75
170633760.1,200612653.3,2209177460,2293480717
37512689.25,49849135.38,476189983.3,542194977.2
234672215.6,315305736.8,2958754646,3080017200
302484989.8,431754731.4,2094342423,2072874681
,,7522836.5,9639690
112889581.9,138714828.4,1127549892,1224660447
528190104,714751188.9,1040636198,1122055845
109880053.2,120092875.2,571014351.9,561806321.5
224469667.1,281046229.5,2354257251,2493736665
89946339.4,132192260,2126757908,2120500505
315436107.3,439138604.7,702646522.1,744195657.1
16676.00977,,527367.6875,572236.8125
3434201.25,2822868.938,12676577.69,14668364.56
35912004.13,47961759.17,123931842.1,133214910.3
,,303616.9063,409919.3125
1536863,2325605.75,3735395.25,4920824
1081486821,1352548380,259716585.4,291597584.9
18440625.07,24787059.67,33515055.95,35041868.34
117534663,157806918.9,2238008117,2454251525
62765533.84,88903366.02,638035194.8,766138261
52631302.9,71556192.41,1542210755,1768319739
,,,
176263803.6,202661243.7,895677135,864632292.7
91003032.53,125038625.5,1203032147,1329598806
,,,
122671291.8,124845142.1,899933302.1,948281416.8
131158255.2,167953769.5,1511184555,1657987138
120717598.9,165175197.1,1805880582,1867769641
97526183.78,128004123.1,608095235.3,600401682
113703885.7,135916038.6,903281588.9,1023261753
,,2406295,2033818.5
180890722.9,262526778.6,1262822645,1371903396
106139807.6,142746459.7,1191248211,1139445168
60719368.14,85841979.72,326632091.5,368102576.2
90899016.65,119164761.5,808849225.4,773558700.2
75107140.79,103746335.3,826282486.8,852172017.3
2942932.5,4737667.5,19178288,15975884.06
121712828.5,149089573.5,697908119,796941060.1
55651059.65,79744064.43,677481832.5,699670361.9
111399508.9,140388687.5,1167630305,1269805618
170752523.9,174272979.4,821760988.1,794055866.2
,,3288979,3323367
13114180.78,8850191.215,5804023.219,5101272.469
181883799.9,241040860.1,1839675642,1871802353
88635520.62,108836395.4,1417044554,1469291504
32605326.6,39377393.86,180704993.5,182622614.2
53149678.6,68786463.48,221318817.4,271401550.5
276684089.7,318688031.5,1725709237,1539435425
130543189.4,155322075.2,1452817954,1542654167
78961496.04,103563005.5,372171542.5,385205075.8
35397634.79,48524529.05,601071164,648935067.8
74767079.14,95197375.47,398075082.6,383606446
12013681.51,15739858.64,260065008.1,272681041.1
53076936.47,70894839.14,967910759.8,917076713.8
1607930.301,1414303.399,115433340.3,144613566.5
22272.67188,26407.91016,1124581,1399000.5
2060234.336,4392548.406,1185154.383,1029491.867
28750029.98,32719922.57,166145093.3,164450937.5
51794090.45,69737268.88,206519540,180993130.7
41149701.81,55766799.25,524001612.2,512291866.5
188779356,255829737.6,1293072328,1362939859
243143029.8,347558029.1,2763398328,2959107752
203052087.5,265549799.5,1803139240,1902847954
8778961.766,11906531.31,18353432.19,20801578.94
193721494.1,263428365.6,1086854269,1050891268
31483973.74,36702001.45,465674219.6,451766569.7
4118621.375,5450909.625,3874944,5057472.063
19282210.35,24345758.22,28352377.97,31890294.94
27489481.74,38420375.17,14308360.47,10531948.71
32269522.97,41730621.01,27653448.91,29153978
41567139.52,57253557.05,5051123.594,6204959.777
1251144.586,965869.8359,25524274.38,29174397.56
36857984.59,47813050.53,18956544.64,19727851.44
5767357.313,7409540.625,3622886,4080704.469
29486378,36438674.31,7148786.926,7206731.441
1297720.625,1300415.25,,
51774739.95,69786519.59,11835120.11,13720105.22
13921870.13,21408050.56,7135970.75,9036437.5
5921414.469,6966171.063,1748500.125,2429636.125
114638791.8,144035967.9,690611791.8,724986862
22930148.97,35387975.59,1243648.483,2922148.633
67355166.25,63009919.88,9844463.695,87303438.03
3211426789,4238403330,2128946302,2208655698
2713444.5,2567087.25,,
23800610.75,32678635.56,15283689,17614180.25
12613401.56,17671648.81,32737548.88,40238078.81
4530683.375,8149015.25,13290812,18315007
11220772.13,12119082.33,29628117.57,31230788.28
5897218.031,10488025.31,15729701.34,17183803.94
12667943.63,16506044,42342568.75,42082102.75
7613032,9485540.5,14461796.75,14441114.13
4104135.75,4822948.5,9563543,10971914
17861237.83,22149923.56,34944887.93,38809164.44
40640.10547,6399554.758,47636639.09,59488706.75
1738652.797,1561398.938,13227108,13495246
1108219.121,1871651.326,24366679.84,27135094.75
2564706.813,3460835.188,10637188,10884673.75
13507287.88,16176197.44,13036724.89,10844596.28
820086.5,778128.6426,1827902.484,1863543.219
,,5099605.5,5975158.5
7260706.977,8428841.461,41698634.78,48319740.38
3001048.438,4127692.688,13833719.97,14795378.88
6397876.5,6764056,1281575.875,2322048
495404.0313,609969.375,,
63404391.78,78156237.69,10461124.89,10742229.39
406042.125,638701.1875,2122940,2550820.5
398514.4063,691315.875,,
203529.7969,405051.4844,705083.125,923026.7813
6891420.313,8411505.063,1865138.68,1741136.313
4451973.563,5222183.25,1477776.945,1263609.262
1636092.938,1960381.563,,
1348989.969,1900937.375,116337.3516,60632.05859
2953192.391,4301933.133,21416885.69,20652929.44
,,1562373.625,1538496.375
53008716.44,83822240.5,21857603.7,22988616.82
34650658.93,44479065.26,112240243.5,124706309.7
5665104,5466156.125,597753.0625,427722.375
105784146.5,148620632.9,313803315.1,317525794.6
118719704.1,146891410.4,8681806.5,9776366.25
14436423.75,24998200.75,12899481.22,11027480.42
3012564.781,4442660.375,292002.7813,196252.5898
15732255.23,20837210.33,53752839.23,60121885.11
15336391.88,20615216.38,11797329.22,16054973.25
16403239.38,17770049.7,78120405.94,87693752.36
1968414.781,3789030.938,4969167.125,6243244.344
10386601.13,14153387,670618.3125,506640.5781
2828949.75,3296006.375,1389929.469,1443422.391
19933388.47,25084290.19,29763270.84,29116276.75
,,1890271.125,
2867082.125,405481.0625,1940449.25,2046035.438
,,1318515.875,1650539.313
17333060.94,22875275.38,19100145.3,21017844.16
1191057.742,1137389.906,4275766.313,4648786.313
13334019.5,20090949.5,7204708.031,9733834.469
168411.875,304749.9688,496550.6563,594728.0625
192501.8594,781951.3125,6178052.938,5597077.063
,,5351722.5,6687332.875
180354.1094,1697167.203,8450948.625,8294902.5
34143798.85,43602233.3,48474726.95,52797408.12
10046857.19,16290280.25,1295383.445,2389081.734
122487888.8,170746013.6,277554319.2,292670436.3
,,599503,709261.625
4313414.9,6503787.144,48905341.08,58208636.18
26503012.57,38337370.52,18032032.1,20229248.63
6366612.25,6467281.063,1164531.125,1964288.219
49397273.42,75868857.38,9088626.516,9582872.016
9279426.141,12899121.73,47279099.69,54259258.88
